"Time";"mlk-georgia-cam-3";"mlk-georgia-cam-1";"mlk-houston-cam-1";"mlk-lindsay-cam-2";"mlk-douglas-cam-1";"mlk-central-cam-2";"mlk-peeples-cam-3";"mlk-douglas-cam-2";"mlk-peeples-cam-1";"mlk-magnolia-cam-2"
"2019-03-25 20:50:00";0;0;0;0;0;112;85;83;59;51
"2019-03-25 21:00:00";0;0;0;0;0;170;64;65;47;62
"2019-03-25 21:10:00";0;0;0;0;0;169;100;109;70;64
"2019-03-25 21:20:00";0;0;0;0;0;184;77;84;42;39
"2019-03-25 21:30:00";0;0;0;0;0;139;77;99;67;50
"2019-03-25 21:40:00";0;0;0;0;0;158;76;99;61;62
"2019-03-25 21:50:00";0;0;0;0;0;125;67;84;60;62
"2019-03-25 22:00:00";0;0;0;0;0;134;98;81;73;69
"2019-03-25 22:10:00";0;0;0;0;0;150;74;86;44;57
"2019-03-25 22:20:00";0;0;0;0;0;111;59;64;43;44
"2019-03-25 22:30:00";0;0;0;0;0;109;43;77;36;32
"2019-03-25 22:40:00";0;0;0;0;0;128;85;63;64;57
"2019-03-25 22:50:00";0;0;0;0;0;101;66;78;42;40
"2019-03-25 23:00:00";0;0;0;0;0;130;66;76;52;45
"2019-03-25 23:10:00";0;0;0;0;0;127;72;76;44;49
"2019-03-25 23:20:00";0;0;0;0;0;95;43;55;37;35
"2019-03-25 23:30:00";0;0;0;0;0;90;41;38;22;29
"2019-03-25 23:40:00";0;0;0;0;0;66;43;45;33;25
"2019-03-25 23:50:00";0;0;0;0;0;71;50;31;24;14
"2019-03-26 00:00:00";0;0;0;0;0;51;51;49;27;19
"2019-03-26 00:10:00";0;0;0;0;0;47;7;23;8;14
"2019-03-26 00:20:00";0;0;0;0;0;71;34;29;15;13
"2019-03-26 00:30:00";0;0;0;0;0;60;36;34;19;16
"2019-03-26 00:40:00";0;0;0;0;0;94;37;35;21;25
"2019-03-26 00:50:00";0;0;0;0;0;75;36;28;16;16
"2019-03-26 01:00:00";0;0;0;0;0;56;38;28;21;23
"2019-03-26 01:10:00";0;0;0;0;0;51;19;26;15;9
"2019-03-26 01:20:00";0;0;0;0;0;44;29;10;10;11
"2019-03-26 01:30:00";0;0;0;0;0;48;33;11;17;10
